id,firm,contact_person,email,conversion_estimate,sub_sector,source,draft_path,mt_id,email_subject,personalised_email,personalisation_note
L-0425,Midland Fire Ltd,not_found,sales@midland-fire.co.uk,High,"compliance trades / fire, water, drainage and grounds",https://midland-fire.co.uk,crm/drafts/L-0425.md,MT-01,Pass/fail lines in compliance tenders,"Hi there,

I found Midland Fire Ltd while mapping small firms that bid or deliver into compliance trades / fire, water, drainage and grounds. The detail that stood out was: Small family fire-safety firm (est. 1985), about 3 engineers; services schools, colleges, libraries, government facilities.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Small family fire-safety firm (est. 1985), about 3 engineers; services schools, colleges, libraries, government facilities."
L-0426,Cropper Grounds Maintenance,not_found,info@grounds-maintenance.com,High,"compliance trades / fire, water, drainage and grounds",https://grounds-maintenance.com,crm/drafts/L-0426.md,MT-02,Pass/fail lines in compliance tenders,"Hi there,

I found Cropper Grounds Maintenance while mapping small firms that bid or deliver into compliance trades / fire, water, drainage and grounds. The detail that stood out was: Family-owned grounds/gritting firm (est. 2001), North Staffs; named council client (Uttoxeter Town Council), gritting for hospitals and schools.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Family-owned grounds/gritting firm (est. 2001), North Staffs; named council client (Uttoxeter Town Council), gritting for hospitals and schools."
L-0427,Exjet,Robin,info@exjet.co.uk,High,"compliance trades / fire, water, drainage and grounds",https://exjet.co.uk/about-us,crm/drafts/L-0427.md,MT-03,Pass/fail lines in compliance tenders,"Hi Robin,

I found Exjet while mapping small firms that bid or deliver into compliance trades / fire, water, drainage and grounds. The detail that stood out was: Second-generation family drainage firm (est. 1986), Devon; MD Robin Dowell (publicly listed). Serves local councils and MoD.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Second-generation family drainage firm (est. 1986), Devon; MD Robin Dowell (publicly listed). Serves local councils and MoD."
L-0428,H2O Hygiene Ltd,not_found,info@h2ohygiene.co.uk,High,"compliance trades / fire, water, drainage and grounds",https://h2ohygiene.co.uk; https://legionellacontrol.org.uk,crm/drafts/L-0428.md,MT-04,Pass/fail lines in compliance tenders,"Hi there,

I found H2O Hygiene Ltd while mapping small firms that bid or deliver into compliance trades / fire, water, drainage and grounds. The detail that stood out was: Family-run water-hygiene firm, Walsall, 2023 Family Business Awards winner. Council portfolio, schools legionella, and care homes. Email verified via LCA directory.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Family-run water-hygiene firm, Walsall, 2023 Family Business Awards winner. Council portfolio, schools legionella, and care homes. Email verified via LCA directory."
L-0429,Hallifax Care,Johanne,info@hallifaxcare.co.uk,High,care,https://hallifaxcare.co.uk,crm/drafts/L-0429.md,MT-07,Pass/fail lines in care tenders,"Hi Johanne,

I found Hallifax Care while mapping small firms that bid or deliver into care. The detail that stood out was: Two-generation family homecare, Brighton and Hove (founded 1996 by Anne Hallifax, now run by daughter Johanne Stanley). Approved contractor for Brighton and Hove City Council.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Two-generation family homecare, Brighton and Hove (founded 1996 by Anne Hallifax, now run by daughter Johanne Stanley). Approved contractor for Brighton and Hove City Council."
L-0430,Devon & Cornwall Care Services (DACCS),Pauline and Samantha,info@daccservices.com,High,care,https://daccservices.com/about,crm/drafts/L-0430.md,MT-08,Pass/fail lines in care tenders,"Hi Pauline and Samantha,

I found Devon & Cornwall Care Services (DACCS) while mapping small firms that bid or deliver into care. The detail that stood out was: Mother-daughter family firm (Pauline and Samantha Hilton), more than 30 years, Tavistock/Okehampton rural Devon. Trusted provider for Devon County Council; CQC Good.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Mother-daughter family firm (Pauline and Samantha Hilton), more than 30 years, Tavistock/Okehampton rural Devon. Trusted provider for Devon County Council; CQC Good."
L-0431,Home Care Wales,not_found,info@homecarewales.com,High,care,https://homecarewales.com,crm/drafts/L-0431.md,MT-09,Pass/fail lines in care tenders,"Hi there,

I found Home Care Wales while mapping small firms that bid or deliver into care. The detail that stood out was: Small community-based homecare, Anglesey. Approved provider on the North Wales framework, delivering for Anglesey Council.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Small community-based homecare, Anglesey. Approved provider on the North Wales framework, delivering for Anglesey Council."
L-0432,Charles Walker Construction Ltd,Andrew,hello@charleswalkerconstruction.co.uk,High,"building, grounds and property-care",https://northyorks.gov.uk,crm/drafts/L-0432.md,MT-12,Pass/fail lines in property tenders,"Hi Andrew,

I found Charles Walker Construction Ltd while mapping small firms that bid or deliver into building, grounds and property-care. The detail that stood out was: 3rd-generation family builder, York (about 6 people; MD Andrew and wife Alex). Named on North Yorkshire Council's housing-repairs contractor list.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","3rd-generation family builder, York (about 6 people; MD Andrew and wife Alex). Named on North Yorkshire Council's housing-repairs contractor list."
L-0433,Top Garden Services,not_found,info@topgardenservices.com,High,"building, grounds and property-care",https://topgardenservices.com/tenders,crm/drafts/L-0433.md,MT-13,Pass/fail lines in property tenders,"Hi there,

I found Top Garden Services while mapping small firms that bid or deliver into building, grounds and property-care. The detail that stood out was: Family-owned grounds firm, Thetford; explicitly tenders for Norfolk County Council, Suffolk County Council and East Cambs District Council (more than 15 years).

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","Family-owned grounds firm, Thetford; explicitly tenders for Norfolk County Council, Suffolk County Council and East Cambs District Council (more than 15 years)."
L-0434,Headcorn Heating Ltd,Andrew,mail@headcornheating.co.uk,High,"heating, plumbing and electrical",https://tch.org.uk/repairs,crm/drafts/L-0434.md,MT-20,Pass/fail lines in trade tenders,"Hi Andrew,

I found Headcorn Heating Ltd while mapping small firms that bid or deliver into heating, plumbing and electrical. The detail that stood out was: 3-person family heating firm (est. 1976), Ashford/Headcorn, Kent (directors Andrew Grant and Elton Ross). Named contractor for Town and Country Housing (housing association) oil/solid-fuel heating; phone matches.

That is the kind of public-sector work where a tender can hide pass/fail lines in different places: insurance, certificates, response times, exclusions, or pricing instructions.

Bidframe reads the tender and turns it into a checklist you can review. It puts deal-breakers first, links every row back to the page and clause, and only drafts answers from evidence you provide. If something is missing, it leaves a question for you.

I can do a free 15-minute read of one tender you are considering. Send me the PDF and I will show the pass/fail lines beside their source.

Book a slot: https://cal.com/joel-jeon-o29lfr/bidframe
Or reply with the tender and a time that suits.

Joel","3-person family heating firm (est. 1976), Ashford/Headcorn, Kent (directors Andrew Grant and Elton Ross). Named contractor for Town and Country Housing (housing association) oil/solid-fuel heating; phone matches."
